ID;Наименование;Родитель;Категория;"Группа дочернего товара";Цена;"Акционная цена";Валюта;Артикул;"Единица измерения";"В упаковке";"На складе";"Акционный товар";"Рекомендованный товар";"Горячее предложение";Новинка;"Краткое описание";Описание;Производитель;Страна;"В комплекте";"Сопутствующие товары";Тэги;Фотографии;Цвет;Материал;Размер;Механизм
1648;"Dorothy Perkins";;"Одежда;Одежда:Женская;Одежда:Женская:Кофты";;1679;0;Рубли;gk4;штука;1.0000;24;1;0;0;0;;"<p><span style=""font-family: Arial, sans-serif; font-size: 13px; line-height: 17.5499992370605px;"">Топ из приятного на ощупь меланжевого трикотажа черного цвета от Modis. Детали: прямой крой, широкие бретели и верх спинки оформлены вышивкой с полупрозрачной фактурой, глубокие проймы.</span></p>
<p><span style=""font-family: Arial, sans-serif; font-size: 13px; line-height: 17.5499992370605px;""><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Остались вопросы? Наша компания ответит на любые вопросы по Ксенмарту.</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Телефон: +7 (495) 268-07-35</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Мобильный: 8 (909) 150-34-44</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">E-mail:&nbsp;</span><a href=""mailto:me@ldm-co.ru"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">me@ldm-co.ru</a><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Скайп:&nbsp;dimitriy-ldm</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Мы на просторах интернета:&nbsp;</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><a href=""https://vk.com/ksenmart"" target=""_blank"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""><img src=""images/vkontakte_t.png"" alt="""" width=""38"" height=""38"" /></a><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""></span><a href=""http://zelslon.com/"" target=""_blank"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""><img src=""images/web-big.png"" alt="""" width=""38"" height=""39"" /></a></span></p>";PARADYZ;;;"dp2;dp3;dp4;dp5";;1434631320.5307.jpg;"Коричневый;Персиковый;Серый";Шелк;"42-44;44-46";
1649;"Concept Club";;"Одежда;Одежда:Женская;Одежда:Женская:Кофты";;3790;0;Рубли;gk5;штука;1.0000;24;1;0;0;0;;"<p><span style=""font-family: Arial, sans-serif; font-size: 13px; line-height: 17.5499992370605px;"">Топ из приятного на ощупь меланжевого трикотажа черного цвета от Modis. Детали: прямой крой, широкие бретели и верх спинки оформлены вышивкой с полупрозрачной фактурой, глубокие проймы.</span></p>
<p><span style=""font-family: Arial, sans-serif; font-size: 13px; line-height: 17.5499992370605px;""><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Остались вопросы? Наша компания ответит на любые вопросы по Ксенмарту.</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Телефон: +7 (495) 268-07-35</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Мобильный: 8 (909) 150-34-44</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">E-mail:&nbsp;</span><a href=""mailto:me@ldm-co.ru"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">me@ldm-co.ru</a><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Скайп:&nbsp;dimitriy-ldm</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Мы на просторах интернета:&nbsp;</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><a href=""https://vk.com/ksenmart"" target=""_blank"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""><img src=""images/vkontakte_t.png"" alt="""" width=""38"" height=""38"" /></a><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""></span><a href=""http://zelslon.com/"" target=""_blank"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""><img src=""images/web-big.png"" alt="""" width=""38"" height=""39"" /></a></span></p>";Decoprint;;;"mo3;gk1;gk2;gk4";;1434631320.5367.jpg;"Черный;Персиковый";Вискоза;"40-42;44-46;46-48";
1650;"Z Generation";;"Одежда;Одежда:Детская;Одежда:Детская:Платья";;2346;0;Рубли;dp1;штука;1.0000;24;0;1;0;0;;"<p><span style=""font-family: Arial, sans-serif; font-size: 13px; line-height: 17.5499992370605px;"">Платье выполнено из вискозного текстиля с нежным цветочным принтом. Модель приталенного кроя с пышной юбкой. Детали: круглый вырез, короткий рукав, открытая спинка, застежка на потайную молнию на юбке сзади, шлевки для ремня, розовый пояс в комплекте, ажурный кант, хлопковая подкладка с двойным фатиновым слоем.</span></p>
<p><span style=""font-family: Arial, sans-serif; font-size: 13px; line-height: 17.5499992370605px;""><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Остались вопросы? Наша компания ответит на любые вопросы по Ксенмарту.</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Телефон: +7 (495) 268-07-35</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Мобильный: 8 (909) 150-34-44</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">E-mail:&nbsp;</span><a href=""mailto:me@ldm-co.ru"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">me@ldm-co.ru</a><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Скайп:&nbsp;dimitriy-ldm</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Мы на просторах интернета:&nbsp;</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><a href=""https://vk.com/ksenmart"" target=""_blank"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""><img src=""images/vkontakte_t.png"" alt="""" width=""38"" height=""38"" /></a><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""></span><a href=""http://zelslon.com/"" target=""_blank"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""><img src=""images/web-big.png"" alt="""" width=""38"" height=""39"" /></a></span></p>";Nokia;;;"gk4;gk5;dp2;dp3";;1434631320.5429.jpg;"Черный;Бежевый";Хлопок;"40-42;42-44;44-46;46-48;48-50";
1651;"Choupette Solo";;"Одежда;Одежда:Детская;Одежда:Детская:Платья";;1235;0;Рубли;dp2;штука;1.0000;24;0;0;0;0;;"<p><span style=""font-family: Arial, sans-serif; font-size: 13px; line-height: 17.5499992370605px;"">Платье выполнено из вискозного текстиля с нежным цветочным принтом. Модель приталенного кроя с пышной юбкой. Детали: круглый вырез, короткий рукав, открытая спинка, застежка на потайную молнию на юбке сзади, шлевки для ремня, розовый пояс в комплекте, ажурный кант, хлопковая подкладка с двойным фатиновым слоем.</span></p>
<p><span style=""font-family: Arial, sans-serif; font-size: 13px; line-height: 17.5499992370605px;""><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Остались вопросы? Наша компания ответит на любые вопросы по Ксенмарту.</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Телефон: +7 (495) 268-07-35</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Мобильный: 8 (909) 150-34-44</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">E-mail:&nbsp;</span><a href=""mailto:me@ldm-co.ru"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">me@ldm-co.ru</a><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Скайп:&nbsp;dimitriy-ldm</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Мы на просторах интернета:&nbsp;</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><a href=""https://vk.com/ksenmart"" target=""_blank"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""><img src=""images/vkontakte_t.png"" alt="""" width=""38"" height=""38"" /></a><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""></span><a href=""http://zelslon.com/"" target=""_blank"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""><img src=""images/web-big.png"" alt="""" width=""38"" height=""39"" /></a></span></p>";Italon;Россия;;"gb4;gb5;gk4;gk5";;1434631320.559.jpg;"Коричневый;Белый;Серый";Хлопок;"40-42;42-44;44-46;46-48;48-50";
1652;Sela;;"Одежда;Одежда:Детская;Одежда:Детская:Платья";;2346;0;Рубли;dp3;штука;1.0000;24;0;0;0;1;;"<p><span style=""font-family: Arial, sans-serif; font-size: 13px; line-height: 17.5499992370605px;"">Платье выполнено из вискозного текстиля с нежным цветочным принтом. Модель приталенного кроя с пышной юбкой. Детали: круглый вырез, короткий рукав, открытая спинка, застежка на потайную молнию на юбке сзади, шлевки для ремня, розовый пояс в комплекте, ажурный кант, хлопковая подкладка с двойным фатиновым слоем.</span></p>
<p><span style=""font-family: Arial, sans-serif; font-size: 13px; line-height: 17.5499992370605px;""><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Остались вопросы? Наша компания ответит на любые вопросы по Ксенмарту.</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Телефон: +7 (495) 268-07-35</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Мобильный: 8 (909) 150-34-44</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">E-mail:&nbsp;</span><a href=""mailto:me@ldm-co.ru"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">me@ldm-co.ru</a><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Скайп:&nbsp;dimitriy-ldm</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Мы на просторах интернета:&nbsp;</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><a href=""https://vk.com/ksenmart"" target=""_blank"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""><img src=""images/vkontakte_t.png"" alt="""" width=""38"" height=""38"" /></a><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""></span><a href=""http://zelslon.com/"" target=""_blank"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""><img src=""images/web-big.png"" alt="""" width=""38"" height=""39"" /></a></span></p>";"Atlas Concorde";Россия;;"gk2;gk4;gk5;dp1";;1434631320.5762.jpg;"Коричневый;Черный;Персиковый";Вельвет;"40-42;42-44;44-46;46-48;48-50";
1653;Choupette;;"Одежда;Одежда:Детская;Одежда:Детская:Платья";;1679;0;Рубли;dp4;штука;1.0000;24;0;0;0;0;;"<p><span style=""font-family: Arial, sans-serif; font-size: 13px; line-height: 17.5499992370605px;"">Платье выполнено из вискозного текстиля с нежным цветочным принтом. Модель приталенного кроя с пышной юбкой. Детали: круглый вырез, короткий рукав, открытая спинка, застежка на потайную молнию на юбке сзади, шлевки для ремня, розовый пояс в комплекте, ажурный кант, хлопковая подкладка с двойным фатиновым слоем.</span></p>
<p><span style=""font-family: Arial, sans-serif; font-size: 13px; line-height: 17.5499992370605px;""><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Остались вопросы? Наша компания ответит на любые вопросы по Ксенмарту.</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Телефон: +7 (495) 268-07-35</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Мобильный: 8 (909) 150-34-44</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">E-mail:&nbsp;</span><a href=""mailto:me@ldm-co.ru"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">me@ldm-co.ru</a><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Скайп:&nbsp;dimitriy-ldm</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Мы на просторах интернета:&nbsp;</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><a href=""https://vk.com/ksenmart"" target=""_blank"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""><img src=""images/vkontakte_t.png"" alt="""" width=""38"" height=""38"" /></a><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""></span><a href=""http://zelslon.com/"" target=""_blank"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""><img src=""images/web-big.png"" alt="""" width=""38"" height=""39"" /></a></span></p>";Guess;;;"mo1;mo2;gb3;gb4";;1434631320.5869.jpg;"Черный;Серый";Шелк;"40-42;44-46;46-48";
1654;"3 Pommes";;"Одежда;Одежда:Детская;Одежда:Детская:Платья";;3790;0;Рубли;dp5;штука;1.0000;21;0;0;0;1;;"<p><span style=""font-family: Arial, sans-serif; font-size: 13px; line-height: 17.5499992370605px;"">Платье выполнено из вискозного текстиля с нежным цветочным принтом. Модель приталенного кроя с пышной юбкой. Детали: круглый вырез, короткий рукав, открытая спинка, застежка на потайную молнию на юбке сзади, шлевки для ремня, розовый пояс в комплекте, ажурный кант, хлопковая подкладка с двойным фатиновым слоем.</span></p>
<p><span style=""font-family: Arial, sans-serif; font-size: 13px; line-height: 17.5499992370605px;""><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Остались вопросы? Наша компания ответит на любые вопросы по Ксенмарту.</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Телефон: +7 (495) 268-07-35</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Мобильный: 8 (909) 150-34-44</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">E-mail:&nbsp;</span><a href=""mailto:me@ldm-co.ru"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">me@ldm-co.ru</a><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Скайп:&nbsp;dimitriy-ldm</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Мы на просторах интернета:&nbsp;</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><a href=""https://vk.com/ksenmart"" target=""_blank"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""><img src=""images/vkontakte_t.png"" alt="""" width=""38"" height=""38"" /></a><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""></span><a href=""http://zelslon.com/"" target=""_blank"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""><img src=""images/web-big.png"" alt="""" width=""38"" height=""39"" /></a></span></p>";"Tom Tailor ";;;"mo1;mo5;gb1;gb2";;1434631320.5925.jpg;"Коричневый;Персиковый;Серый";Хлопок;"40-42;42-44;44-46;46-48;48-50";
1655;"3 Pommes";;"Одежда;Одежда:Детская;Одежда:Детская:Джинсы";;2347;0;Рубли;dj1;штука;1.0000;24;0;0;0;0;;"<p><span style=""font-family: Arial, sans-serif; font-size: 13px; line-height: 17.5499992370605px;"">Джинсы выполнены из хлопкового денима голубого цвета. Детали: зауженный книзу крой; эластичные манжеты и пояс; пять карманов; шлевки под ремень; декоративные заплатки.</span></p>
<p><span style=""font-family: Arial, sans-serif; font-size: 13px; line-height: 17.5499992370605px;""><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Остались вопросы? Наша компания ответит на любые вопросы по Ксенмарту.</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Телефон: +7 (495) 268-07-35</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Мобильный: 8 (909) 150-34-44</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">E-mail:&nbsp;</span><a href=""mailto:me@ldm-co.ru"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">me@ldm-co.ru</a><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Скайп:&nbsp;dimitriy-ldm</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Мы на просторах интернета:&nbsp;</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><a href=""https://vk.com/ksenmart"" target=""_blank"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""><img src=""images/vkontakte_t.png"" alt="""" width=""38"" height=""38"" /></a><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""></span><a href=""http://zelslon.com/"" target=""_blank"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""><img src=""images/web-big.png"" alt="""" width=""38"" height=""39"" /></a></span></p>";"Calvin Klein";;;"mo5;gb1;gb2;gk2";;1434631320.5982.jpg;"Желтый;Красный;Зеленый";Вискоза;"40-42;42-44;44-46;46-48;48-50";
1656;Sela;;"Одежда;Одежда:Детская;Одежда:Детская:Джинсы";;1236;0;Рубли;dj2;штука;1.0000;24;0;0;0;0;;"<p><span style=""font-family: Arial, sans-serif; font-size: 13px; line-height: 17.5499992370605px;"">Джинсы выполнены из хлопкового денима голубого цвета. Детали: зауженный книзу крой; эластичные манжеты и пояс; пять карманов; шлевки под ремень; декоративные заплатки.</span></p>
<p><span style=""font-family: Arial, sans-serif; font-size: 13px; line-height: 17.5499992370605px;""><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Остались вопросы? Наша компания ответит на любые вопросы по Ксенмарту.</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Телефон: +7 (495) 268-07-35</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Мобильный: 8 (909) 150-34-44</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">E-mail:&nbsp;</span><a href=""mailto:me@ldm-co.ru"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">me@ldm-co.ru</a><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Скайп:&nbsp;dimitriy-ldm</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Мы на просторах интернета:&nbsp;</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><a href=""https://vk.com/ksenmart"" target=""_blank"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""><img src=""images/vkontakte_t.png"" alt="""" width=""38"" height=""38"" /></a><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""></span><a href=""http://zelslon.com/"" target=""_blank"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""><img src=""images/web-big.png"" alt="""" width=""38"" height=""39"" /></a></span></p>";"Макасины Мука";;;"gk4;dj1;dj3;dj4";;1434631320.6025.jpg;"Белый;Черный";Вельвет;"42-44;44-46;46-48";
1657;"Tom Tailor";;"Одежда;Одежда:Детская;Одежда:Детская:Джинсы";;2347;0;Рубли;dj3;штука;1.0000;24;0;0;0;0;;"<p><span style=""font-family: Arial, sans-serif; font-size: 13px; line-height: 17.5499992370605px;"">Джинсы выполнены из хлопкового денима голубого цвета. Детали: зауженный книзу крой; эластичные манжеты и пояс; пять карманов; шлевки под ремень; декоративные заплатки.</span></p>
<p><span style=""font-family: Arial, sans-serif; font-size: 13px; line-height: 17.5499992370605px;""><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Остались вопросы? Наша компания ответит на любые вопросы по Ксенмарту.</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Телефон: +7 (495) 268-07-35</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Мобильный: 8 (909) 150-34-44</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">E-mail:&nbsp;</span><a href=""mailto:me@ldm-co.ru"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">me@ldm-co.ru</a><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Скайп:&nbsp;dimitriy-ldm</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Мы на просторах интернета:&nbsp;</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><a href=""https://vk.com/ksenmart"" target=""_blank"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""><img src=""images/vkontakte_t.png"" alt="""" width=""38"" height=""38"" /></a><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""></span><a href=""http://zelslon.com/"" target=""_blank"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""><img src=""images/web-big.png"" alt="""" width=""38"" height=""39"" /></a></span></p>";"Золотой сапожок";Россия;;"gb1;dp4;dp5;dj5";;1434631320.6088.jpg;"Коричневый;Черный";Шелк;"40-42;42-44;44-46;46-48;48-50";
1658;"Mango Kids";;"Одежда;Одежда:Детская;Одежда:Детская:Джинсы";;1680;0;Рубли;dj4;штука;1.0000;23;0;0;0;1;;"<p><span style=""font-family: Arial, sans-serif; font-size: 13px; line-height: 17.5499992370605px;"">Джинсы выполнены из хлопкового денима голубого цвета. Детали: зауженный книзу крой; эластичные манжеты и пояс; пять карманов; шлевки под ремень; декоративные заплатки.</span></p>
<p><span style=""font-family: Arial, sans-serif; font-size: 13px; line-height: 17.5499992370605px;""><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Остались вопросы? Наша компания ответит на любые вопросы по Ксенмарту.</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Телефон: +7 (495) 268-07-35</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Мобильный: 8 (909) 150-34-44</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">E-mail:&nbsp;</span><a href=""mailto:me@ldm-co.ru"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">me@ldm-co.ru</a><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Скайп:&nbsp;dimitriy-ldm</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Мы на просторах интернета:&nbsp;</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><a href=""https://vk.com/ksenmart"" target=""_blank"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""><img src=""images/vkontakte_t.png"" alt="""" width=""38"" height=""38"" /></a><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""></span><a href=""http://zelslon.com/"" target=""_blank"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""><img src=""images/web-big.png"" alt="""" width=""38"" height=""39"" /></a></span></p>";Nintendo;Россия;;"gb1;gb2;dj2;dj3";;1434631320.615.jpg;"Бежевый;Серый";Вискоза;"40-42;46-48;48-50";
